Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
10,Partly cloudy,5.3,283.8,0.0,1003.8,2015-04-24T13:00:00,2015-04-24T18:00:00
11,Cloudy,4.5,275.6,0.0,1004.1,2015-04-24T18:00:00,2015-04-25T00:00:00
7,Partly cloudy,0.8,175.5,0.0,1005.7,2015-04-25T00:00:00,2015-04-25T06:00:00
4,Cloudy,1.5,158.9,0.0,1005.7,2015-04-25T06:00:00,2015-04-25T12:00:00
13,Cloudy,4.1,175.7,0.0,1004.3,2015-04-25T12:00:00,2015-04-25T18:00:00
10,Cloudy,3.2,158.9,0.1,1001.6,2015-04-25T18:00:00,2015-04-26T00:00:00
7,Partly cloudy,1.9,186.6,0.0,1000.2,2015-04-26T00:00:00,2015-04-26T06:00:00
8,Partly cloudy,2.5,237.7,0.0,999.7,2015-04-26T06:00:00,2015-04-26T12:00:00
15,Partly cloudy,2.4,252.8,0.0,1000.9,2015-04-26T12:00:00,2015-04-26T18:00:00
14,Light rain,4.5,215.0,0.9,1001.5,2015-04-26T18:00:00,2015-04-27T00:00:00
7,Cloudy,2.5,172.8,0.0,1002.1,2015-04-27T02:00:00,2015-04-27T08:00:00
8,Cloudy,1.5,143.7,0.4,1002.2,2015-04-27T08:00:00,2015-04-27T14:00:00
12,Rain,3.2,178.0,1.5,1002.4,2015-04-27T14:00:00,2015-04-27T20:00:00
7,Rain,3.0,125.9,4.0,1000.7,2015-04-27T20:00:00,2015-04-28T02:00:00
7,Rain,1.1,210.6,1.2,998.6,2015-04-28T02:00:00,2015-04-28T08:00:00
9,Cloudy,3.8,312.4,0.0,998.9,2015-04-28T08:00:00,2015-04-28T14:00:00
13,Cloudy,3.9,310.1,0.0,1002.4,2015-04-28T14:00:00,2015-04-28T20:00:00
9,Cloudy,2.5,102.2,0.0,1005.7,2015-04-28T20:00:00,2015-04-29T02:00:00
5,Cloudy,1.6,54.4,0.1,1008.1,2015-04-29T02:00:00,2015-04-29T08:00:00
6,Light rain,2.6,2.5,0.7,1008.4,2015-04-29T08:00:00,2015-04-29T14:00:00
8,Cloudy,4.9,335.4,0.0,1008.0,2015-04-29T14:00:00,2015-04-29T20:00:00
7,Cloudy,2.7,315.5,0.0,1007.7,2015-04-29T20:00:00,2015-04-30T02:00:00
4,Fair,2.7,310.0,0.0,1007.3,2015-04-30T02:00:00,2015-04-30T08:00:00
6,Cloudy,3.2,292.9,0.0,1007.2,2015-04-30T08:00:00,2015-04-30T14:00:00
12,Clear sky,5.0,262.8,0.0,1006.2,2015-04-30T14:00:00,2015-04-30T20:00:00
8,Partly cloudy,3.3,201.4,0.0,1007.1,2015-04-30T20:00:00,2015-05-01T02:00:00
4,Cloudy,2.9,225.0,0.0,1009.4,2015-05-01T02:00:00,2015-05-01T08:00:00
7,Cloudy,1.0,233.4,0.0,1011.8,2015-05-01T08:00:00,2015-05-01T14:00:00
11,Light rain,3.7,150.6,0.5,1012.5,2015-05-01T14:00:00,2015-05-01T20:00:00
6,Rain,1.6,92.4,1.5,1011.9,2015-05-01T20:00:00,2015-05-02T02:00:00
6,Cloudy,2.5,123.8,0.4,1008.6,2015-05-02T02:00:00,2015-05-02T08:00:00
8,Rain,4.7,154.7,1.5,1007.0,2015-05-02T08:00:00,2015-05-02T14:00:00
9,Rain,3.3,137.6,1.9,1007.0,2015-05-02T14:00:00,2015-05-02T20:00:00
6,Rain,1.5,108.1,1.8,1005.4,2015-05-02T20:00:00,2015-05-03T02:00:00
6,Heavy rain,1.3,20.8,6.3,1001.9,2015-05-03T02:00:00,2015-05-03T08:00:00
6,Rain,1.1,286.5,4.1,997.5,2015-05-03T08:00:00,2015-05-03T14:00:00
4,Cloudy,4.8,269.6,0.5,996.4,2015-05-03T14:00:00,2015-05-03T20:00:00
6,Clear sky,3.3,189.0,0.3,999.9,2015-05-03T20:00:00,2015-05-04T02:00:00
10,Fair,5.3,283.8,0.0,1003.8,2015-04-24T13:00:00,2015-04-24T14:00:00
11,Partly cloudy,5.0,286.2,0.0,1003.9,2015-04-24T14:00:00,2015-04-24T15:00:00
11,Cloudy,4.6,286.5,0.0,1004.0,2015-04-24T15:00:00,2015-04-24T16:00:00
12,Cloudy,4.7,283.0,0.0,1003.9,2015-04-24T16:00:00,2015-04-24T17:00:00
11,Cloudy,5.1,262.1,0.0,1004.0,2015-04-24T17:00:00,2015-04-24T18:00:00
11,Cloudy,4.5,275.6,0.0,1004.1,2015-04-24T18:00:00,2015-04-24T19:00:00
10,Cloudy,4.3,291.7,0.0,1004.2,2015-04-24T19:00:00,2015-04-24T20:00:00
10,Cloudy,3.5,287.8,0.0,1004.4,2015-04-24T20:00:00,2015-04-24T21:00:00
9,Cloudy,2.1,277.8,0.0,1004.8,2015-04-24T21:00:00,2015-04-24T22:00:00
9,Cloudy,1.3,292.0,0.0,1005.1,2015-04-24T22:00:00,2015-04-24T23:00:00
8,Cloudy,1.3,219.5,0.0,1005.4,2015-04-24T23:00:00,2015-04-25T00:00:00
7,Cloudy,0.8,175.5,0.0,1005.7,2015-04-25T00:00:00,2015-04-25T01:00:00
5,Partly cloudy,1.0,172.6,0.0,1005.9,2015-04-25T01:00:00,2015-04-25T02:00:00
